panel,gene_set,gene_index,gene
Fig3E,SASP,1,ANAPC1
Fig3E,SASP,2,ANAPC10
Fig3E,SASP,3,ANAPC11
Fig3E,SASP,4,ANAPC15
Fig3E,SASP,5,ANAPC16
Fig3E,SASP,6,ANAPC2
Fig3E,SASP,7,ANAPC4
Fig3E,SASP,8,ANAPC5
Fig3E,SASP,9,ANAPC7
Fig3E,SASP,10,CCNA1
Fig3E,SASP,11,CCNA2
Fig3E,SASP,12,CDC16
Fig3E,SASP,13,CDC23
Fig3E,SASP,14,CDC26
Fig3E,SASP,15,CDC27
Fig3E,SASP,16,CDK2
Fig3E,SASP,17,CDK4
Fig3E,SASP,18,CDK6
Fig3E,SASP,19,CDKN1A
Fig3E,SASP,20,CDKN1B
Fig3E,SASP,21,CDKN2A
Fig3E,SASP,22,CDKN2B
Fig3E,SASP,23,CDKN2C
Fig3E,SASP,24,CDKN2D
Fig3E,SASP,25,CEBPB
Fig3E,SASP,26,CXCL8
Fig3E,SASP,27,EHMT1
Fig3E,SASP,28,EHMT2
Fig3E,SASP,29,FOS
Fig3E,SASP,30,FZR1
Fig3E,SASP,31,H2AB1
Fig3E,SASP,32,H2AC14
Fig3E,SASP,33,H2AC18
Fig3E,SASP,34,H2AC19
Fig3E,SASP,35,H2AC20
Fig3E,SASP,36,H2AC4
Fig3E,SASP,37,H2AC6
Fig3E,SASP,38,H2AC7
Fig3E,SASP,39,H2AC8
Fig3E,SASP,40,H2AJ
Fig3E,SASP,41,H2AX
Fig3E,SASP,42,H2AZ2
Fig3E,SASP,43,H2BC1
Fig3E,SASP,44,H2BC10
Fig3E,SASP,45,H2BC11
Fig3E,SASP,46,H2BC12
Fig3E,SASP,47,H2BC12L
Fig3E,SASP,48,H2BC13
Fig3E,SASP,49,H2BC14
Fig3E,SASP,50,H2BC15
Fig3E,SASP,51,H2BC17
Fig3E,SASP,52,H2BC21
Fig3E,SASP,53,H2BC26
Fig3E,SASP,54,H2BC3
Fig3E,SASP,55,H2BC4
Fig3E,SASP,56,H2BC5
Fig3E,SASP,57,H2BC6
Fig3E,SASP,58,H2BC7
Fig3E,SASP,59,H2BC8
Fig3E,SASP,60,H2BC9
Fig3E,SASP,61,H3-3A
Fig3E,SASP,62,H3-3B
Fig3E,SASP,63,H3C1
Fig3E,SASP,64,H3C10
Fig3E,SASP,65,H3C11
Fig3E,SASP,66,H3C12
Fig3E,SASP,67,H3C13
Fig3E,SASP,68,H3C14
Fig3E,SASP,69,H3C15
Fig3E,SASP,70,H3C2
Fig3E,SASP,71,H3C3
Fig3E,SASP,72,H3C4
Fig3E,SASP,73,H3C6
Fig3E,SASP,74,H3C7
Fig3E,SASP,75,H3C8
Fig3E,SASP,76,H4C1
Fig3E,SASP,77,H4C11
Fig3E,SASP,78,H4C12
Fig3E,SASP,79,H4C13
Fig3E,SASP,80,H4C14
Fig3E,SASP,81,H4C15
Fig3E,SASP,82,H4C16
Fig3E,SASP,83,H4C2
Fig3E,SASP,84,H4C3
Fig3E,SASP,85,H4C4
Fig3E,SASP,86,H4C5
Fig3E,SASP,87,H4C6
Fig3E,SASP,88,H4C8
Fig3E,SASP,89,H4C9
Fig3E,SASP,90,IGFBP7
Fig3E,SASP,91,IL1A
Fig3E,SASP,92,IL6
Fig3E,SASP,93,JUN
Fig3E,SASP,94,MAPK1
Fig3E,SASP,95,MAPK3
Fig3E,SASP,96,MAPK7
Fig3E,SASP,97,NFKB1
Fig3E,SASP,98,RELA
Fig3E,SASP,99,RPS27A
Fig3E,SASP,100,RPS6KA1
Fig3E,SASP,101,RPS6KA2
Fig3E,SASP,102,RPS6KA3
Fig3E,SASP,103,STAT3
Fig3E,SASP,104,UBA52
Fig3E,SASP,105,UBB
Fig3E,SASP,106,UBC
Fig3E,SASP,107,UBE2C
Fig3E,SASP,108,UBE2D1
Fig3E,SASP,109,UBE2E1
Fig3E,SASP,110,UBE2S
Fig3E,SASP,111,VENTX
